"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","MAX_EPISODE_LEN","PLOT_DIR","RESULT_DIR","SNAPSHOT_DIR","TRAINVAL_VOCAB","TRAIN_VOCAB","action_embedding_size","agent_type","batch_size","bidirectional","blind","debug","dirs","dropout_ratio","eval_type","feature_size","feedback","feedback_method","fold","hidden_size","history","learning_rate","lr","max_input_length","model_prefix","n_iters","padding_idx","par_folder","seed","target_embedding_size","weight_decay","word_embedding_size","iteration","test_euc_final_goal","test_euc_oracle_goal","test_loss","test_top_final_goal","test_top_oracle_goal","train_loss","val_seen_euc_final_goal","val_seen_euc_oracle_goal","val_seen_loss","val_seen_top_final_goal","val_seen_top_oracle_goal"
"test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-18T07:08:09.000Z","386774","","120","NDH-output/plots/test_feedback-sample_blind-vision_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-vision_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-vision_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/test_feedback-sample_blind-vision_lr-0.001000/","0.5","test","144","sample","sample","test","16","all","0.001","0.001","100","test-seq2seq-120-sample-blind=vision","20000","0","test_feedback-sample_blind-vision_lr-0.001000","1","2","0.0005","16","20000","1.0194647384823365","0.912190941654421","0.7668749703301323","4.091162511416571","4.017108049090218","0.9098331709967719","","","","",""
"test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-18T07:06:52.000Z","348849","","120","NDH-output/plots/test_feedback-sample_blind-language_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-language_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-language_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/test_feedback-sample_blind-language_lr-0.001000/","0.5","test","144","sample","sample","test","16","all","0.001","0.001","100","test-seq2seq-120-sample-blind=language","20000","0","test_feedback-sample_blind-language_lr-0.001000","1","2","0.0005","16","20000","1.0541365331227739","0.8318282092577197","0.6671323776245117","3.6484755116916445","3.5609874274132642","0.8087586932712131","","","","",""
"test-seq2seq-120-sample","test-seq2seq-120-sample","test-seq2seq-120-sample","finished","-","shurjo","","2020-08-18T01:26:35.000Z","391133","","120","NDH-output/plots/test_feedback-sample_blind-_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/test_feedback-sample_blind-_lr-0.001000/","0.5","test","144","sample","sample","test","16","all","0.001","0.001","100","test-seq2seq-120-sample","20000","0","test_feedback-sample_blind-_lr-0.001000","1","2","0.0005","16","20000","1.0366807050709206","0.7598894197949515","0.6808272255791558","3.451910664138787","3.3009726476449974","0.7960504972669815","","","","",""
"test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-18T00:30:10.000Z","176115","","120","NDH-output/plots/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/test_feedback-teacher_blind-vision_lr-0.000100/","0.5","test","144","teacher","teacher","test","16","all","0.0001","0.0001","100","test-seq2seq-120-teacher-blind=vision","5000","0","test_feedback-teacher_blind-vision_lr-0.000100","1","2","0.0005","16","5000","1.0868992261550232","0.8905332961801088","0.638874880472819","4.018912085091967","3.919293234361291","0.41690212821960454","","","","",""
"test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-18T00:07:52.000Z","162427","","120","NDH-output/plots/test_feedback-teacher_blind-language_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-language_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-language_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/test_feedback-teacher_blind-language_lr-0.000100/","0.5","test","144","teacher","teacher","test","16","all","0.0001","0.0001","100","test-seq2seq-120-teacher-blind=language","5000","0","test_feedback-teacher_blind-language_lr-0.000100","1","2","0.0005","16","5000","1.0171952967125024","0.7035669125621539","0.6190501319037544","3.650549957469659","3.2023438051884905","0.3495623597039117","","","","",""
"test-seq2seq-120-teacher","test-seq2seq-120-teacher","test-seq2seq-120-teacher","finished","-","shurjo","","2020-08-17T21:21:24.000Z","171525","","120","NDH-output/plots/test_feedback-teacher_blind-_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/test_feedback-teacher_blind-_lr-0.000100/","0.5","test","144","teacher","teacher","test","16","all","0.0001","0.0001","100","test-seq2seq-120-teacher","5000","0","test_feedback-teacher_blind-_lr-0.000100","1","2","0.0005","16","5000","0.9913334399500432","0.7237912563322796","0.6215788735283746","3.695215705839255","3.374194607533438","0.3496834275987413","","","","",""
"val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-17T21:20:12.000Z","389182","","120","NDH-output/plots/val_feedback-sample_blind-vision_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-vision_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-vision_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/val_feedback-sample_blind-vision_lr-0.001000/","0.5","val","144","sample","sample","val","16","all","0.001","0.001","100","val-seq2seq-120-sample-blind=vision","20000","0","val_feedback-sample_blind-vision_lr-0.001000","1","2","0.0005","16","20000","","","","","","0.9067529466417102","1.0599129059699672","0.9697634249587294","0.7504855685763889","4.011081272087544","3.953376305787527"
"val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-17T21:19:52.000Z","303944","","120","NDH-output/plots/val_feedback-sample_blind-language_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-language_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-language_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/val_feedback-sample_blind-language_lr-0.001000/","0.5","val","144","sample","sample","val","16","all","0.001","0.001","100","val-seq2seq-120-sample-blind=language","20000","0","val_feedback-sample_blind-language_lr-0.001000","1","2","0.0005","16","20000","","","","","","0.7982082587348089","1.084908244198247","0.8587335435707119","0.6511819839477538","3.482341550458654","3.343351429983628"
"val-seq2seq-120-sample","val-seq2seq-120-sample","val-seq2seq-120-sample","finished","-","shurjo","","2020-08-17T18:29:56.000Z","309889","","120","NDH-output/plots/val_feedback-sample_blind-_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/val_feedback-sample_blind-_lr-0.001000/","0.5","val","144","sample","sample","val","16","all","0.001","0.001","100","val-seq2seq-120-sample","20000","0","val_feedback-sample_blind-_lr-0.001000","1","2","0.0005","16","20000","","","","","","0.7865936258104114","1.1190063640808037","0.8294162075475153","0.6542478349473742","3.2884894107190816","3.1486399512478904"
"val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-17T18:29:56.000Z","175006","","120","NDH-output/plots/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/results/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/snapshots/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/val_feedback-teacher_blind-vision_lr-0.000100/","0.5","val","144","teacher","teacher","val","16","all","0.0001","0.0001","100","val-seq2seq-120-teacher-blind=vision","5000","0","val_feedback-teacher_blind-vision_lr-0.000100","1","2","0.0005","16","5000","","","","","","0.42226707924736867","1.135552465742889","0.9336185486009762","0.589781920115153","3.948805643007064","3.8219194788395368"
